instance,runtime
21,257.642
4,0.0399982
13,8.25567
9,1.18796
1,0.00400038
14,16.0056
7,0.375988
8,0.715984
3,0.0159987
20,191.954
15,26.079
12,5.02781
18,92.1653
16,43.0051
2,0.00399937
10,2.00793
11,3.10392
17,65.3677
19,128.684
6,0.179991
5,0.0719984
